"시점","사용액","시도","광역","체감BSI","대형소매점판매지수","소비자물가지수","동행종합지수","총인구수","인구밀도","사업체수","인구대비업체수","소비자심리지수"
"2020.05",29800,"대전","대전","86.7",107.4,99.54,99,1471915,2727.28367611636,84984,0.0577370296518481,81.8
"2020.06",952222.19,"대전","대전","88.5",94.1,99.86,99.9,1471040,2725.66240503984,84984,0.0577713726343267,85.3
"2020.07",1981077.58,"대전","대전","61.9",85.5,99.74,99.8,1470225,2724.15230683713,85361,0.0580598207757316,85.7
"2020.08",1295473.49,"대전","대전","70.2",95.4,100.26,101.4,1469431,2722.68111914026,85361,0.0580911931216913,89.5
"2020.09",891068.32,"대전","대전","48.2",108.8,100.53,101.5,1469099,2722.0659625718,85361,0.0581043210838752,82.8
"2020.10",766801.13,"대전","대전","79.7",108.1,99.95,101.9,1467556,2719.20696683343,73054,0.0497793610601572,94
"2020.11",1751531.98,"대전","대전","84.2",110.9,100,102.7,1465893,2716.12562534741,73054,0.049835833856905,98.9
"2020.12",1132059.81,"대전","대전","49.5",106.4,100.38,103.1,1463882,2712.39948119326,73054,0.0499042955648065,92.3
"2021.01",1418867.1,"대전","대전","36.0",103.7,101.05,102.4,1463291,2711.30442838614,67633,0.0462197881351009,94.6
"2021.02",1561790.46,"대전","대전","47.7",101.9,101.53,101.5,1462064,2709.03094311655,67633,0.0462585769159216,97.1
"2021.03",1521902.4,"대전","대전","63.1",109.6,101.9,100.6,1458463,2702.35871780619,67633,0.0463727910821186,98.7
"2021.04",1393228.73,"대전","대전","48.6",100.2,102.09,100.1,1457619,2700.7948860478,66946,0.0459283255775343,101.5
"2021.05",2025671.19,"대전","대전","50.0",108.5,102.13,99.7,1457161,2699.94626644432,66946,0.0459427613009132,102.9
"2021.06",1752826.99,"대전","대전","57.7",99.4,102.19,100,1456107,2697.99332962757,66946,0.0459760168723864,110.2
"2021.07",1654139.07,"대전","대전","32.4",97.4,102.4,100.1,1455300,2696.49805447471,69583,0.0478135092420807,103.8
"2021.08",1510316.41,"대전","대전","32.0",116.4,102.7,99.8,1454679,2695.34741523068,69583,0.0478339207481513,100.8
"2021.09",1638692.19,"대전","대전","49.5",145.2,103.08,98.8,1455058,2696.04965721697,69583,0.0478214614125348,104
"2021.10",1655829.22,"대전","대전","66.7",145.4,103.23,98.6,1454228,2694.51176579581,67884,0.0466804380055947,106.7
"2021.11",2780132.97,"대전","대전","64.0",138.4,103.71,98.6,1453675,2693.48712247545,67884,0.0466981959516398,104.6
"2021.12",1936660.74,"대전","대전","38.3",143.9,103.97,99.6,1452251,2690.84861960348,67884,0.0467439857159678,101.8
"2022.01",1717983.43,"대전","대전","43.2",145.8,104.55,100.1,1451272,2689.03464887901,70641,0.0486752311076077,102.1
"2022.02",1606764.11,"대전","대전","39.1",112.7,105.24,99.7,1450862,2688.27496757458,70641,0.0486889862716096,101.4
"2022.03",1886130.12,"대전","대전","49.1",128.8,106.12,98.9,1450057,2686.78339818418,70641,0.0487160159910955,98.9
"2022.04",1940774.58,"대전","대전","75.0",129.3,106.73,98.6,1449360,2685.49193996665,73036,0.0503918971132086,104.7
"2022.05",2305778.4,"대전","대전","75.0",132.2,107.42,99.1,1448933,2684.7007596813,73036,0.0504067475859822,103.4
"2022.06",2066337.46,"대전","대전","63.6",135.1,108.18,99.1,1448401,2683.71502686678,73036,0.0504252620648563,95
"2022.07",1541709.07,"대전","대전","56.8",134.1,108.43,99.6,1448182,2683.30924587734,75145,0.051889196247433,87.3
"2022.08",852516.77,"대전","대전","50.5",132.7,108.26,99.6,1448240,2683.4167129887,75145,0.0518871181572115,90
"2022.09",704284.95,"대전","대전","75.9",144.8,108.54,99.9,1446602,2680.38169353344,75145,0.0519458703914415,90
"2022.10",629944.44,"대전","대전","61.4",146.7,108.89,99.2,1446863,2680.86529553456,77392,0.0534895149022402,86.6
"2022.11",563614.58,"대전","대전","52.3",139.3,108.82,98.8,1446749,2680.6540670743,77392,0.0534937297347363,87
"2022.12",556325.75,"대전","대전","58.6",152.7,109.02,98.8,1446072,2679.39966648138,77392,0.0535187736156982,88.9
"2020.07",269538672983,"인천","인천","63.2",96,99.75,96,2945565,2760.60449859419,124521,0.0422740628707905,87
"2020.08",262469573477,"인천","인천","65.4",101.9,100.24,96.3,2943491,2758.66073102156,124521,0.0423038494087463,91
"2020.09",271712963465,"인천","인천","63.6",115.7,100.81,97.2,2942553,2757.78163074039,124521,0.0423173346410413,78.8
"2020.10",279963860085,"인천","인천","79.6",100.5,100.22,97.8,2942233,2757.48172446111,118458,0.0402612573511343,93.1
"2020.11",266861802742,"인천","인천","76.4",101.1,100.06,98.2,2942307,2757.55107778819,118458,0.0402602447671164,100.1
"2020.12",258268491960,"인천","인천","52.9",109.2,100.34,97.7,2942828,2758.03936269916,118458,0.040253117069703,88
"2021.01",266399863843,"인천","인천","38.6",108.1,101.03,98,2942452,2757.68697282099,106707,0.0362646527453974,91.8
"2021.02",276475968966,"인천","인천","47.5",104.4,101.65,98.8,2941705,2756.98687910028,106707,0.0362738615870728,95.1
"2021.03",310424146413,"인천","인천","60.4",103,101.83,99.2,2936461,2752.07216494845,106707,0.0363386402884288,101.5
"2021.04",316748801629,"인천","인천","59.6",102.5,102.02,99.7,2936214,2751.84067478913,102280,0.0348339732730652,102.8
"2021.05",332964077958,"인천","인천","63.2",110.6,102.08,99.8,2936382,2751.99812558575,102280,0.0348319803077392,106.4
"2021.06",325241379945,"인천","인천","51.4",97,102.11,100.4,2936367,2751.98406747891,102280,0.0348321582418002,109.4
"2021.07",331071181183,"인천","인천","26.1",104.9,102.36,100.6,2937440,2752.98969072165,107679,0.036657429598562,100.6
"2021.08",327210078497,"인천","인천","25.4",101.6,102.94,101,2938429,2753.91658856607,107679,0.0366450916459101,101
"2021.09",370942612072,"인천","인천","55.7",114.3,103.41,101.2,2941795,2757.07122774133,107679,0.0366031623549568,104.7
"2021.10",349580518008,"인천","인천","63.2",108.8,103.56,101.7,2945009,2760.08341143393,105253,0.0357394493531259,106.9
"2021.11",421172562505,"인천","인천","66.1",98.7,104.06,101.6,2946319,2761.31115276476,105253,0.0357235587864043,107
"2021.12",439361257103,"인천","인천","37.9",107.1,104.38,102.1,2948375,2763.23805060918,105253,0.0356986475600967,103.9
"2022.01",491187999967,"인천","인천","41.3",114.8,104.99,101.9,2949150,2763.96438612933,110782,0.0375640438770493,103.4
"2022.02",378811192987,"인천","인천","37.1",88,105.64,101.8,2950978,2765.67760074977,110782,0.0375407746177708,107.6
"2022.03",430460151206,"인천","인천","51.7",103.5,106.29,102.2,2952699,2767.29053420806,110782,0.0375188937307866,104.4
"2022.04",447917575195,"인천","인천","76.2",104.3,107.1,102.2,2953260,2767.81630740394,115771,0.0392010862572208,105.1
"2022.05",476014919395,"인천","인천","72.7",106.8,107.82,103.1,2955167,2769.60356138707,115771,0.0391757893885523,104.6
"2022.06",469764087919,"인천","인천","65.0",98.1,108.49,103.1,2957066,2771.38331771321,115771,0.0391506310647108,99.2
"2022.07",352638715909,"인천","인천","44.8",101.8,108.9,104.3,2960580,2774.67666354264,120914,0.0408413216329233,88.1
"2022.08",281740165082,"인천","인천","57.0",101.4,108.66,104.8,2963117,2777.05435801312,120914,0.0408063535796933,89.3
"2022.09",261405686182,"인천","인천","67.1",109.8,109.05,105.3,2960097,2774.22399250234,120914,0.0408479857247921,92.5
"2022.10",266385267549,"인천","인천","63.3",103.3,109.44,104.7,2962388,2776.37113402062,126021,0.0425403424534531,90.7
"2022.11",247742900830,"인천","인천","61.5",95.1,109.4,103.9,2964820,2778.65042174321,126021,0.0425054472109605,89.7
"2022.12",248332839933,"인천","인천","57.0",104.5,109.7,102.8,2967314,2780.9878163074,126021,0.042469721775316,90.7
"2023.01",243530579948,"인천","인천","52.4",111.9,110.52,101.8,2969502,2783.03842549203,112343,0.0378322695185927,88.7
"2023.02",222490970486,"인천","인천","58.4",88.6,110.65,101.9,2971788,2785.1808809747,112343,0.0378031676552971,89.8
"2023.03",240996432301,"인천","인천","70.3",102.6,110.78,101.9,2974481,2787.70477975633,112343,0.0377689418759105,92.9
"2023.04",233600396283,"인천","인천","67.8",108.7,111,102.2,2976338,2789.44517338332,115781,0.0389004877806217,94
"2023.05",364783492325,"인천","인천","71.3",112.8,111.33,102.5,2978089,2791.0862230553,115781,0.0388776158133622,94.8
"2023.06",258984101562,"인천","인천","64.0",104,111.23,103,2978749,2791.70477975633,115781,0.0388690017185067,96.8
"2023.07",251885703601,"인천","인천","55.9",113.1,111.51,98.9,2981553,2794.33270852859,113661,0.0381214085411193,100
"2023.08",243569217171,"인천","인천","62.9",104.4,112.72,98.8,2985152,2797.70571696345,113661,0.0380754480843857,98.5
"2021.01",29690212948,"전주","전북","31.5",106,101.01,99.4,657661,3192.21920201922,38937,0.0592052744499066,94.3
"2021.02",65627248162,"전주","전북","45.2",106.2,101.59,100.1,657998,3193.85496553733,38937,0.0591749518995498,95.8
"2021.03",51743405234,"전주","전북","55.6",94.7,101.91,101,657064,3189.32142510436,38937,0.0592590676098523,98.4
"2021.04",32599225200,"전주","전북","49.2",96.7,102.05,101.7,656755,3187.82157072129,38666,0.0588743138613334,98.6
"2021.05",28510448325,"전주","전북","66.5",108.3,102.1,102,656934,3188.69041840598,38666,0.058858271911638,104.8
"2021.06",21193015563,"전주","전북","52.8",94.2,102.11,102.2,657428,3191.08824385982,38666,0.0588140450361104,108.8
"2021.07",16086241716,"전주","전북","41.9",106.1,102.39,102.5,657664,3192.23376371226,40060,0.0609125632541845,105.3
"2021.08",16571266753,"전주","전북","37.5",97.3,102.9,102.7,657577,3191.81147461412,40060,0.0609206222237092,103.1
"2021.09",21716406991,"전주","전북","62.9",115.5,103.42,102.7,658235,3195.00533928745,40060,0.0608597233510828,105.2
"2021.10",19527872000,"전주","전북","66.5",104.3,103.46,102.3,658216,3194.91311523153,40635,0.061735053538656,106.9
"2021.11",13184955842,"전주","전북","71.0",93.3,104.06,102.8,657930,3193.5249004951,40635,0.0617618895627194,109.6
"2021.12",13852349550,"전주","전북","37.5",100,104.08,103.5,657269,3190.31647412873,40635,0.0618240020448249,106
"2022.01",18961991942,"전주","전북","41.4",110.8,104.69,104.4,656766,3187.87496359577,41805,0.063652807849371,106.5
"2022.02",17812041142,"전주","전북","41.0",86,105.27,104.4,656331,3185.76351810504,41805,0.0636949953605726,103.4
"2022.03",20601631295,"전주","전북","52.0",98,106.28,104.8,655879,3183.56955635375,41805,0.0637388908624914,100.9
"2022.04",34608160765,"전주","전북","76.2",96.5,107.21,105.2,655601,3182.22017279876,42845,0.0653522493101749,104
"2022.05",28021825147,"전주","전북","75.0",102.9,108,105.5,654749,3178.08465197554,42845,0.0654372897094917,104.8
"2019.04",1834332,"파주","경기","69.7",92.9,99.365,99.3,453366,672.719718665143,21154,0.0466598730385605,101.4
"2019.05",307873226,"파주","경기","69.7",104.8,99.668,100.2,453600,673.066935735165,21154,0.0466358024691358,98.9
"2019.06",583396321,"파주","경기","64.0",98.6,99.498,100,453883,673.486860653184,21154,0.0466067246404911,98
"2019.07",908235533,"파주","경기","61.4",97.9,99.195,99.8,453942,673.574406837505,21437,0.0472240947081345,97.3
"2019.08",1234684228,"파주","경기","61.0",102.2,99.432,99.5,453898,673.509118157672,21437,0.0472286725211391,95
"2019.09",911401431,"파주","경기","77.2",110,99.612,99.3,453825,673.400798302494,21437,0.0472362694871371,98.1
"2019.10",1449995988,"파주","경기","78.6",99,99.962,99.7,454055,673.742080037986,21564,0.0474920439153847,100.1
"2019.11",1414494635,"파주","경기","50.0",107.8,99.422,100.1,454107,673.81923938688,21564,0.0474866055797422,103.5
"2019.12",1754742769,"파주","경기","67.6",109.1,99.668,100.9,454040,673.719822533498,21564,0.0474936128975421,103.1
"2020.01",1929193834,"파주","경기","64.3",113.4,100.08,101.2,453961,673.602599676524,21235,0.0467771460543967,105.3
"2020.02",1820381210,"파주","경기","44.4",85.7,100.14,100.4,453827,673.40376596976,21235,0.0467909577878795,98.4
"2020.03",2103433274,"파주","경기","27.6",89.9,99.88,99.4,454494,674.393483002686,21235,0.0467222889631106,81.5
"2020.04",5034201343,"파주","경기","72.1",92.3,99.46,98.2,455262,675.533067232502,20821,0.0457341047572607,76.3
"2020.05",10571980857,"파주","경기","87.7",99.9,99.42,98.1,455471,675.84318846171,20821,0.0457131189471997,81.3
"2020.06",7880058242,"파주","경기","78.7",96,99.75,97.9,456073,676.736456308519,20821,0.0456527792699853,84.6
"2020.07",7112049996,"파주","경기","65.1",94.8,99.64,98,456788,677.797397355808,21428,0.0469101640148165,88.7
"2020.08",5400609659,"파주","경기","67.4",97.4,100.21,98.2,459158,681.314083065007,21428,0.0466680314837158,90.9
"2020.09",6884624449,"파주","경기","53.2",112.7,100.73,98.4,461314,684.513228376834,21428,0.0464499234794522,81.6
"2020.10",7932502203,"파주","경기","80.4",104,100.15,98.7,463155,687.244966094402,20914,0.0451555094946616,93.8
"2020.11",7972290050,"파주","경기","84.9",104.4,100.12,98.9,464453,689.170982149481,20914,0.0450293140533057,100
"2020.12",8882538666,"파주","경기","51.0",109.5,100.4,98.7,465617,690.898164497797,20914,0.0449167448783013,91.4
"2021.01",8196080900,"파주","경기","38.6",107.4,101.05,98.2,466539,692.266259107029,20610,0.0441763711072386,96.5
"2021.02",12350935604,"파주","경기","48.5",102.8,101.66,98.1,467954,694.36588369712,20610,0.0440427905306932,98.9
"2021.03",17027227943,"파주","경기","65.8",102.8,101.87,98.5,468501,695.177540694137,20610,0.0439913682147957,102
"2021.04",14289333884,"파주","경기","57.4",100.6,102.01,98.8,470096,697.544255338091,20609,0.0438399816207753,103.9
"2021.05",17333174816,"파주","경기","58.2",111.3,102.1,99.2,471219,699.210600507471,20609,0.0437355030251327,106.7
"2021.06",23977455007,"파주","경기","55.4",99.7,102.17,99.2,472260,700.75527131898,20609,0.0436390971075255,110.8
"2021.07",16045859541,"파주","경기","30.4",105.3,102.33,99.6,473673,702.851928241806,21170,0.0446932799631813,104
"2021.08",13535420746,"파주","경기","32.9",107.5,102.85,99.9,476044,706.370097784636,21170,0.0444706791809161,99.7
"2021.09",26384695824,"파주","경기","61.7",115.9,103.21,100.1,477819,709.003902482454,21170,0.0443054796900081,102.8
"2021.10",23814750535,"파주","경기","66.3",116.5,103.43,100.3,479183,711.027851557283,19405,0.0404960109185843,106.3
"2021.11",16778377808,"파주","경기","64.3",107.1,103.97,100.5,481629,714.657308622557,19405,0.0402903479649274,107.7
"2021.12",14562904000,"파주","경기","40.6",114.4,104.16,101.2,483245,717.055183772795,19405,0.0401556146468148,105.4
"2022.01",13124105538,"파주","경기","44.6",124.2,104.79,101.9,484729,719.257192883534,20269,0.0418151173129728,104.5
"2022.02",11683988912,"파주","경기","39.0",92,105.36,102,485672,720.65644799905,20269,0.0417339274242699,104.7
"2022.03",14030337842,"파주","경기","61.2",105.1,106.14,102.1,486131,721.337527636401,20269,0.0416945226698153,104.4
"2022.04",14676480017,"파주","경기","81.6",106,106.89,101.8,486515,721.90731975131,21360,0.0439040933989702,104.9
"2022.05",14766634882,"파주","경기","75.6",112.6,107.6,102.2,486872,722.437048358138,21360,0.0438719006227509,102.8
"2022.06",13985166431,"파주","경기","61.5",101.9,108.19,102.2,487831,723.860044811776,21360,0.0437856552781599,96.5
"2022.07",16313903980,"파주","경기","57.0",109.4,108.72,102.3,488608,725.012983544285,22427,0.0458997806012182,86.5
"2022.08",15832799547,"파주","경기","58.4",110.5,108.57,101.7,490143,727.290668170285,22427,0.0457560344634117,88.6
"2022.09",14804139005,"파주","경기","71.9",113.3,108.87,101,492267,730.44233080587,22427,0.0455586094538127,91.4
"2022.10",14836636518,"파주","경기","63.0",110.3,109.15,99.7,493938,732.9218168059,23411,0.0473966368248647,86.5
"2020.01",1368993755,"무주","전북","73.4",121.5,100.31,98.1,24271,38.3992279336149,1821,0.0750278109678217,107.7
"2020.02",1229480279,"무주","전북","38.9",78.7,100.37,97.4,24230,38.3343617004446,1821,0.0751547668179942,101.5
"2020.03",1621762952,"무주","전북","28.3",88.9,100.04,96,24178,38.2520923315456,1821,0.0753164033418811,87.9
"2020.04",2119655300,"무주","전북","78.7",92.6,99.52,94.5,24127,38.1714050658946,1808,0.0749367928047416,81
"2020.05",4067254085,"무주","전북","79.9",101.4,99.32,92.9,24089,38.1112851424684,1808,0.075055004358836,87.2
"2020.06",2611041749,"무주","전북","91.8",94.3,99.57,92.3,24042,38.0369262898097,1808,0.0752017303052991,88.4
"2020.07",2889004468,"무주","전북","68.0",95.7,99.54,92,24014,37.992627398864,1846,0.0768718247688848,91.4
"2020.08",2716598162,"무주","전북","63.1",101.8,100.13,92.6,24024,38.0084484313446,1846,0.0768398268398268,95.8
"2020.09",4821016878,"무주","전북","58.6",115.4,100.73,94.4,24032,38.0211052573291,1846,0.0768142476697736,85.3
"2020.10",3833872232,"무주","전북","73.2",103.1,100.1,96.1,24034,38.0242694638252,1912,0.0795539652159441,93.1
"2020.11",2898032717,"무주","전북","83.3",100.6,100.03,98.2,24031,38.019523154081,1912,0.079563896633515,99.1
"2020.12",2889209346,"무주","전북","50.8",106,100.34,98.6,24036,38.0274336703213,1912,0.0795473456481944,90
"2021.01",2877015803,"무주","전북","31.5",106,101.01,99.4,24046,38.0432547028019,1903,0.0791399817017383,94.3
"2021.02",3405952231,"무주","전북","45.2",106.2,101.59,100.1,23990,37.9546569209107,1903,0.0793247186327636,95.8
"2021.03",3752641494,"무주","전북","55.6",94.7,101.91,101,23940,37.8755517585078,1903,0.0794903926482874,98.4
"2021.04",4251034328,"무주","전북","49.2",96.7,102.05,101.7,23912,37.8312528675621,1903,0.0795834727333556,98.6
"2021.05",4059154137,"무주","전북","66.5",108.3,102.1,102,23917,37.8391633838024,1903,0.0795668353054313,104.8
"2021.06",4739786502,"무주","전북","52.8",94.2,102.11,102.2,23875,37.772715047384,1903,0.0797068062827225,108.8
"2021.07",2999419766,"무주","전북","41.9",106.1,102.39,102.5,23849,37.7315803629345,1944,0.0815128516918948,105.3
"2021.08",2378032122,"무주","전북","37.5",97.3,102.9,102.7,23834,37.7078488142136,1944,0.0815641520516909,103.1
"2021.09",2728623246,"무주","전북","62.9",115.5,103.42,102.7,23764,37.5971015868496,1944,0.0818044100319811,105.2
"2021.10",2624780739,"무주","전북","66.5",104.3,103.46,102.3,23769,37.6050121030898,1938,0.0815347721822542,106.9
"2021.11",3282349520,"무주","전북","71.0",93.3,104.06,102.8,23770,37.6065942063379,1938,0.0815313420277661,109.6
"2021.12",3119527922,"무주","전북","37.5",100,104.08,103.5,23748,37.5717879348806,1938,0.0816068721576554,106
"2022.01",2960500083,"무주","전북","41.4",110.8,104.69,104.4,23735,37.5512205926559,1956,0.0824099431219718,106.5
